close,time
0.0,2021-11-20 00:00:00
58201.5,2021-11-20 00:01:00
58195.67,2021-11-20 00:02:00
58111.0,2021-11-20 00:03:00
58013.35,2021-11-20 00:04:00
58019.73,2021-11-20 00:05:00
57986.76,2021-11-20 00:06:00
57964.8,2021-11-20 00:07:00
57964.55,2021-11-20 00:08:00
58171.63,2021-11-20 00:09:00
58248.99,2021-11-20 00:10:00
58380.89,2021-11-20 00:11:00
58461.59,2021-11-20 00:12:00
58421.22,2021-11-20 00:13:00
58454.07,2021-11-20 00:14:00
58465.29,2021-11-20 00:15:00
58504.69,2021-11-20 00:16:00
58527.69,2021-11-20 00:17:00
58438.99,2021-11-20 00:18:00
58434.78,2021-11-20 00:19:00
58375.49,2021-11-20 00:20:00
58393.0,2021-11-20 00:21:00
58389.13,2021-11-20 00:22:00
58431.0,2021-11-20 00:23:00
58478.49,2021-11-20 00:24:00
58498.65,2021-11-20 00:25:00
58449.44,2021-11-20 00:26:00
58470.34,2021-11-20 00:27:00
58442.73,2021-11-20 00:28:00
58424.14,2021-11-20 00:29:00
58382.54,2021-11-20 00:30:00
58354.02,2021-11-20 00:31:00
58337.39,2021-11-20 00:32:00
58277.04,2021-11-20 00:33:00
58206.11,2021-11-20 00:34:00
58171.5,2021-11-20 00:35:00
58135.18,2021-11-20 00:36:00
58158.23,2021-11-20 00:37:00
58164.11,2021-11-20 00:38:00
58126.0,2021-11-20 00:39:00
58102.0,2021-11-20 00:40:00
58221.66,2021-11-20 00:41:00
58242.03,2021-11-20 00:42:00
58259.88,2021-11-20 00:43:00
58292.68,2021-11-20 00:44:00
58256.05,2021-11-20 00:45:00
58187.51,2021-11-20 00:46:00
58192.5,2021-11-20 00:47:00
58177.44,2021-11-20 00:48:00
58237.08,2021-11-20 00:49:00
58269.35,2021-11-20 00:50:00
58232.74,2021-11-20 00:51:00
58267.4,2021-11-20 00:52:00
58273.98,2021-11-20 00:53:00
58335.24,2021-11-20 00:54:00
58311.57,2021-11-20 00:55:00
58307.01,2021-11-20 00:56:00
58280.14,2021-11-20 00:57:00
58268.41,2021-11-20 00:58:00
58233.37,2021-11-20 00:59:00
58227.42,2021-11-20 01:00:00
58265.9,2021-11-20 01:01:00
58322.81,2021-11-20 01:02:00
