Close,Date
93.3,2013-04-01 00:07:00
104.0,2013-04-02 00:07:00
116.53353,2013-04-03 00:07:00
134.65538166,2013-04-04 00:07:00
131.999,2013-04-05 00:07:00
142.3,2013-04-06 00:07:00
143.05,2013-04-07 00:07:00
163.2,2013-04-08 00:07:00
186.8,2013-04-09 00:07:00
228.656,2013-04-10 00:07:00
166.002,2013-04-11 00:07:00
97.0,2013-04-12 00:07:00
112.0,2013-04-13 00:07:00
91.169,2013-04-14 00:07:00
89.804,2013-04-15 00:07:00
84.48,2013-04-16 00:07:00
68.125,2013-04-17 00:07:00
93.01,2013-04-18 00:07:00
106.8,2013-04-19 00:07:00
117.039,2013-04-20 00:07:00
126.61,2013-04-21 00:07:00
119.91,2013-04-22 00:07:00
126.85,2013-04-23 00:07:00
143.484,2013-04-24 00:07:00
155.7,2013-04-25 00:07:00
141.5,2013-04-26 00:07:00
137.3,2013-04-27 00:07:00
128.7,2013-04-28 00:07:00
134.65,2013-04-29 00:07:00
143.898,2013-04-30 00:07:00
139.82,2013-05-01 00:07:00
113.111,2013-05-02 00:07:00
106.0,2013-05-03 00:07:00
96.06,2013-05-04 00:07:00
111.84,2013-05-05 00:07:00
116.47,2013-05-06 00:07:00
111.31,2013-05-07 00:07:00
110.59,2013-05-08 00:07:00
113.5,2013-05-09 00:07:00
112.0,2013-05-10 00:07:00
117.95,2013-05-11 00:07:00
115.58,2013-05-12 00:07:00
114.3,2013-05-13 00:07:00
117.979,2013-05-14 00:07:00
109.45,2013-05-15 00:07:00
109.1,2013-05-16 00:07:00
117.934,2013-05-17 00:07:00
117.61,2013-05-18 00:07:00
118.23,2013-05-19 00:07:00
118.45,2013-05-20 00:07:00
117.96,2013-05-21 00:07:00
117.0,2013-05-22 00:07:00
119.32,2013-05-23 00:07:00
123.88,2013-05-24 00:07:00
128.1,2013-05-25 00:07:00
128.99,2013-05-26 00:07:00
130.23,2013-05-27 00:07:00
126.25,2013-05-28 00:07:00
125.5,2013-05-29 00:07:00
130.35,2013-05-30 00:07:00
125.24,2013-05-31 00:07:00
127.91,2013-06-01 00:07:00
128.77,2013-06-02 00:07:00
123.11,2013-06-03 00:07:00
123.1,2013-06-04 00:07:00
120.43,2013-06-05 00:07:00
121.33,2013-06-06 00:07:00
118.5,2013-06-07 00:07:00
110.8,2013-06-08 00:07:00
109.13,2013-06-09 00:07:00
100.02,2013-06-10 00:07:00
104.69,2013-06-11 00:07:00
107.36,2013-06-12 00:07:00
106.0,2013-06-13 00:07:00
101.71,2013-06-14 00:07:00
99.0,2013-06-15 00:07:00
99.42,2013-06-16 00:07:00
98.74,2013-06-17 00:07:00
100.49,2013-06-18 00:07:00
104.0,2013-06-19 00:07:00
104.99,2013-06-20 00:07:00
102.62,2013-06-21 00:07:00
101.29,2013-06-22 00:07:00
100.23,2013-06-23 00:07:00
100.4,2013-06-24 00:07:00
99.2,2013-06-25 00:07:00
98.26,2013-06-26 00:07:00
98.69,2013-06-27 00:07:00
95.94,2013-06-28 00:07:00
89.2,2013-06-29 00:07:00
88.8,2013-06-30 00:07:00
89.55,2013-07-01 00:07:00
83.9,2013-07-02 00:07:00
89.0,2013-07-03 00:07:00
77.6,2013-07-04 00:07:00
79.4,2013-07-05 00:07:00
67.0,2013-07-06 00:07:00
66.12,2013-07-07 00:07:00
73.38,2013-07-08 00:07:00
74.35,2013-07-09 00:07:00
74.93,2013-07-10 00:07:00
86.7,2013-07-11 00:07:00
88.0,2013-07-12 00:07:00
90.2,2013-07-13 00:07:00
92.23,2013-07-14 00:07:00
89.01100000000002,2013-07-15 00:07:00
93.75,2013-07-16 00:07:00
91.49,2013-07-17 00:07:00
90.97,2013-07-18 00:07:00
84.49,2013-07-19 00:07:00
86.5,2013-07-20 00:07:00
85.0,2013-07-21 00:07:00
85.99,2013-07-22 00:07:00
85.33,2013-07-23 00:07:00
87.02,2013-07-24 00:07:00
88.48,2013-07-25 00:07:00
90.08,2013-07-26 00:07:00
89.95,2013-07-27 00:07:00
88.02,2013-07-28 00:07:00
92.84,2013-07-29 00:07:00
93.37,2013-07-30 00:07:00
96.68,2013-07-31 00:07:00
98.18,2013-08-01 00:07:00
96.55,2013-08-02 00:07:00
96.41,2013-08-03 00:07:00
